Race,Total_Pop
White alone,6488459
Black or African American alone,2140217
American Indian and Alaska Native alone,130032
Asian alone,343051
Native Hawaiian and Other Pacific Islander alone,8518
Some Other Race alone,617390
Two or More Races,711721
