id,url,summary,connectivity,bwDown,bwUp,latency,completed,is-on-https,viewport,first-contentful-paint-score,first-contentful-paint-numericValue,largest-contentful-paint-score,largest-contentful-paint-numericValue,first-meaningful-paint-score,first-meaningful-paint-numericValue,speed-index-score,speed-index-numericValue,tbt-score,tbt-numericValue,max-potential-fid-score,max-potential-fid-numericValue,cls-score,cls-numericValue,server-response-score,server-response-numericValue,tti-score,tti-numericValue,content-width-score,image-aspect-ratio-score,bootup-time-score,bootup-time-numericValue,network-server-latency-numericValue,color-contrast,heading-order,render-blocking-resources-score,render-blocking-resources-numericValue,numRequests,numScripts,numStylesheets,numFonts,numTasks,numTasksOver10ms,numTasksOver25ms,numTasksOver50ms,numTasksOver100ms,numTasksOver500ms,rtt,totalByteWeight,totalTaskTime,mainDocumentTransferSize,urlObj,hostname,pathname
230831_AiDcJ9_E02,https://trove.nla.gov.au/work/242731004?keyword=Lowitja,https://www.webpagetest.org/results.php?test=230831_AiDcJ9_E02,3G,1600,768,300,1693516430,1,1,0.5,2984.783,0,25351.011,0.75,2984.783,0.15,8902,0.02,3280.4350000000004,0,3131.8,0.9,0.09692303334125661,1,405.56999999999994,0.02,19806.757,1,1,0.27,5615.164999999996,2723.2135000000003,1,1,0.01,24560,33,8,2,4,2814,55,34,22,13,2,0,3353322,8957.504000000057,6013,https://trove.nla.gov.au/work/242731004?keyword=Lowitja,trove.nla.gov.au,/work/242731004
230831_BiDc68_E6D,https://trove.nla.gov.au/search?keyword=Lowitja,https://www.webpagetest.org/results.php?test=230831_BiDc68_E6D,3G,1600,768,300,1693516403,1,1,0.5,2972.903,0,24493.017,0.76,2972.903,0.15,8876,0.03,2970.7869999999975,0,2705.781,0.14,0.5357712106485603,1,407.203,0.02,19640.421,1,1,0.26,5720.746999999998,2714.33,1,1,0.01,24429,38,8,2,4,5181,812,33,21,14,3,0,3409424,19607.419000000857,6013,https://trove.nla.gov.au/search?keyword=Lowitja,trove.nla.gov.au,/search
230831_BiDcEB_DVT,https://trove.nla.gov.au/help/using-trove/cultural-safety-first-australians,https://www.webpagetest.org/results.php?test=230831_BiDcEB_DVT,3G,1600,768,300,1693515202,1,1,0.22,4076.29,0.47,4076.29,0.48,4076.29,0.68,4766,0.09,1829.6690000000017,0.03,650.771,1,0.0009810379252818112,0,611.795,0.02,20186.703,0,1,0.8,1761.4799999999993,472.1339999999999,1,1,0.01,22703,77,23,38,5,4402,251,28,17,9,1,189.952,2690835,9191.083000000179,17770,https://trove.nla.gov.au/help/using-trove/cultural-safety-first-australians,trove.nla.gov.au,/help/using-trove/cultural-safety-first-australians
230831_BiDcRX_E6G,https://trove.nla.gov.au/newspaper/article/255550008?searchTerm=Lowitja,https://www.webpagetest.org/results.php?test=230831_BiDcRX_E6G,3G,1600,768,300,1693516403,1,1,0.27,3792.859,0,9831.962,0.04,8304.561,0.42,6295,0,5102.5880000000125,0,1156.996,0.97,0.06337851466831015,0,776.1569999999999,0.01,22233.349,1,1,0.29,5281.058,564.282,1,1,0.01,24441,75,10,10,9,2272,128,57,42,23,1,0,2148435,9870.763999999996,21024,https://trove.nla.gov.au/newspaper/article/255550008?searchTerm=Lowitja,trove.nla.gov.au,/newspaper/article/255550008
230831_AiDc6S_E01,https://utahindians.org/archives/index.html,https://www.webpagetest.org/results.php?test=230831_AiDc6S_E01,3G,1600,768,300,1693516409,1,0,0.98,1341.954,1,1341.954,1,1341.954,1,1677,1,0,1,26.682,0.78,0.14179663351046085,1,233.692,1,1341.954,0,1,1,19.569000000000003,293.7985,1,,1,0,22,1,1,0,302,13,3,1,0,0,213.20999999999998,159329,512.9349999999997,2744,https://utahindians.org/archives/index.html,utahindians.org,/archives/index.html
230831_AiDcTD_E13,https://utahindians.org/archives/navajo.html,https://www.webpagetest.org/results.php?test=230831_AiDcTD_E13,3G,1600,768,300,1693516455,0,0,0.96,1498.918,0.15,5785.692,0.99,1552.843,0.92,3181,1,0,1,62.923,0.9,0.09700415650736395,1,258.562,1,1546.113,0,0,1,89.999,1673.904,1,1,1,12,45,2,3,0,812,19,4,1,0,0,212.61199999999997,841864,1055.3930000000007,7595,https://utahindians.org/archives/navajo.html,utahindians.org,/archives/navajo.html
230831_BiDc04_E7A,https://utahindians.org/archives/shoshone.html,https://www.webpagetest.org/results.php?test=230831_BiDc04_E7A,3G,1600,768,300,1693516385,1,0,0.94,1609.52,0.31,4790.491,0.98,1609.52,0.85,3700,1,0,1,37.562,0.9,0.09700415650736395,1,252.8760000000001,1,1609.52,0,1,1,92.855,403.1189999999999,1,1,1,11,39,2,3,0,677,21,3,2,1,0,212.99099999999999,632553,1184.950000000001,6591,https://utahindians.org/archives/shoshone.html,utahindians.org,/archives/shoshone.html
230831_BiDcX4_E7V,https://utahindians.org/Curriculum/maps.php,https://www.webpagetest.org/results.php?test=230831_BiDcX4_E7V,3G,1600,768,300,1693516452,1,0,0.93,1640.423,0.99,1640.423,0.98,1640.423,1,1920,1,0,1,22.192,0.62,0.19909835168381523,1,246.84399999999994,1,1640.423,0,1,1,20.046,250.02800000000002,1,0,1,0,31,2,3,0,323,10,2,2,1,0,213.26099999999997,133904,583.5409999999991,5311,https://utahindians.org/Curriculum/maps.php,utahindians.org,/Curriculum/maps.php
230831_AiDcDC_DN3,https://vilda.alaska.edu/digital/collection/cdmg3/id/359/rec/6,https://www.webpagetest.org/results.php?test=230831_AiDcDC_DN3,3G,1600,768,300,1693515166,1,1,0.03,6330.509,0.02,8356.485,0.03,8356.485,0.2,8172,0.59,492.4500000000007,0.4,284.373,0.94,0.08272363274414822,1,332.56899999999985,0.4,8303.019,1,1,0.75,2030.331,248.50499999999997,1,1,0.33,1720,29,5,8,1,1552,57,16,11,5,1,152.83,1075446,3566.998000000014,20491,https://vilda.alaska.edu/digital/collection/cdmg3/id/359/rec/6,vilda.alaska.edu,/digital/collection/cdmg3/id/359/rec/6
230831_AiDcH2_DNG,https://vilda.alaska.edu/digital/collection/cdmg21,https://www.webpagetest.org/results.php?test=230831_AiDcH2_DNG,3G,1600,768,300,1693515163,1,1,0.03,6240.262,0.05,7189.167,0.14,6240.262,0.39,6483,0.87,225.16799999236991,0.52,243.046,1,0.00009908839420896647,1,198.08800000000008,0.5,7261.108999992371,1,1,0.8,1789.5569999999996,290.8665000000001,1,1,0.23,2621,29,5,9,1,707,33,18,12,5,1,172.491,790653,2668.6929999999993,12023,https://vilda.alaska.edu/digital/collection/cdmg21,vilda.alaska.edu,/digital/collection/cdmg21
